user_id,age,gender,location
3f49044c1469c6990a665f46,19,other,Addis Ababa
15e1576abc700ddfd9438e6a,30,other,Hawassa
a6f601b7c855d45c6b5b182a,22,female,Hawassa
bb640eb8250ff322567a4012,21,male,Hawassa
fa890200036e527ebb5cba50,30,female,Addis Ababa
1ab162d05561afc0289e1533,40,other,Mekelle
0af19a1d9258ce39a8527107,41,other,Bahir Dar
21e3e8ec2a3609aac4fb1b9d,28,other,Mekelle
76df56a2b96dc2ebf3f1f57b,18,other,Mekelle
143992f0e4bb5c632a679004,42,other,Hawassa
b7843d8a594c9d4af5174a94,32,other,Bahir Dar
afdab7ace8325b2fa4c73573,23,male,Addis Ababa
684190abff94c96d2ecfb473,30,male,Hawassa
7f6ba2374190223ae6eb3445,26,other,Addis Ababa
ce11f5ec5fc3352520dd6de4,36,male,Hawassa
b29ed66f28200bdc7e240121,40,female,Hawassa
27766212754d574cfb952d64,30,male,Addis Ababa
c98ffe8ea8f768e0f99ef3b2,20,male,Bahir Dar
8597510055df1cd34b8925ff,32,other,Bahir Dar
1684ff63099e2d71ea3328e1,19,female,Hawassa
e769ea64edb538422d0207d2,45,female,Hawassa
9ce2213a41c96bb031d257bd,42,other,Mekelle
8d6fcf70cedb6eba30ea92a3,35,female,Bahir Dar
0f2bba442157c88c8cd7d0b3,35,male,Addis Ababa
4449f8fb2bedffa9deef5d42,39,female,Mekelle
1b37181a45a73fb15266917e,18,female,Bahir Dar
c0474b77b5a05f93cbed3c77,19,other,Bahir Dar
b8c0e0957da7fb04f7b5725c,40,female,Mekelle
aa51daacb70f69670ef2e055,23,other,Mekelle
ab22f68c609f14593ea17164,25,female,Mekelle
ca131c4561dca5734e0f8d78,22,other,Bahir Dar
57234cfbf6994a1e8de7e139,21,other,Mekelle
d019d721dde0c2901c03f695,39,male,Mekelle
d0f9043bde607f4b5a790cca,44,female,Mekelle
249a14fbf8f01d13c577d69b,37,other,Hawassa
0cb466ed848f7217061a9d17,29,male,Addis Ababa
75678f9034810547b15910e3,31,other,Bahir Dar
1d42d809f2422f6c0c8709be,44,other,Addis Ababa
c13f2e29ba92d6ebd0d806bf,40,other,Mekelle
656378adb052154147bf878f,40,female,Hawassa
c9c8d4a31fbdb6ac0abe1350,31,female,Bahir Dar
c1ff76eae8e76a4ebfcbb0cd,33,male,Addis Ababa
de35737dd6c96d37fe379295,41,other,Bahir Dar
918710aa36ae81643dd838ff,20,male,Hawassa
24a019b0b0fb3460df0585ae,26,male,Bahir Dar
a86c5e12a6b98689ce4a990f,41,other,Bahir Dar
f1b91c1f5f2444d640d9e9ca,24,male,Mekelle
728a93751aeec33fdcd71e74,45,other,Addis Ababa
affa9a0ea9c8bf4e0064cf7a,18,other,Mekelle
9624b6e6ae1fe195805b9ab3,23,male,Addis Ababa
2b5c42b673bdf8d8980a4272,42,other,Mekelle
90477a06563cd228bbf0b90f,32,other,Bahir Dar
4f9dba784e8c16a00c874377,39,female,Mekelle
dcf67b8cf654fee033ea7cd5,35,male,Addis Ababa
aae1e2483a1bd9d46fb0a9e3,40,female,Hawassa
873df3bd28509baafde8f0a2,22,male,Hawassa
5a642f7d0b09c8502696b7a7,33,female,Mekelle
f04e6876a97292bad7c1bc34,22,other,Hawassa
15bce0909fef3c5970e86356,45,male,Mekelle
8e9300d800e052b8025896be,32,other,Hawassa
9e146e7ea97ebde154208d53,24,male,Bahir Dar
a70425350fc8c4863406a953,38,male,Hawassa
837b4edf772726e60795cf52,44,female,Addis Ababa
f992746b2cd7050492238fd6,20,other,Addis Ababa
fcca7cad85df7ce0fbc25125,39,other,Mekelle
